"Priority","Source","Year","Type","What it contributes","What it cannot justify","Link or DOI","Next action"
"1","Ghafur et al., A retrospective impact analysis of the WannaCry cyberattack on the NHS","2019","Empirical observational study","Observed changes in admissions, emergency activity, outpatient cancellations, and economic activity at infected NHS trusts","Asset-level propagation probabilities or effectiveness of individual controls","https://doi.org/10.1038/s41746-019-0161-6","Extract study period, comparison design, effect estimates, uncertainty, and limitations"
"1","Dameff et al., Ransomware Attack Associated With Disruptions at Adjacent Emergency Departments in the US","2023","Empirical cohort study","Regional spillover during a month-long attack; ED census, ambulance arrivals, waiting, diversion, and care-process outcomes","Direct causal efficacy of a defense portfolio","https://doi.org/10.1001/jamanetworkopen.2023.12270","Extract time windows and operational outcomes for held-out pattern validation"
"1","Neprash et al., Trends in Ransomware Attacks on US Hospitals, Clinics, and Other Health Care Delivery Organizations, 2016–2021","2022","Empirical incident trend study","Attack frequency, operational disruption likelihood, and reported duration patterns across US healthcare delivery organizations","Fine-grained network transitions or hospital-specific risk prediction","https://doi.org/10.1001/jamahealthforum.2022.4873","Extract disruption-duration definitions and assess reporting bias"
"1","Ghayoomi et al., Assessing resilience of hospitals to cyberattack","2021","Peer-reviewed discrete-event simulation","Patient-based, resource-constrained hospital model; recovery strategies; service and patient-throughput outcomes over a longer horizon","Validation of the NAZE asset-propagation parameters","https://doi.org/10.1177/20552076211059366","Map their patient-flow outcomes and calibration process to a possible downstream layer"
"1","Willing et al., Simulating the overload of medical processes due to system failures during a cyberattack","2025","Peer-reviewed hybrid simulation","Patient-focused process delays under device outage durations; explicit emergency-care process dependencies","Universal outage thresholds for every hospital service","https://doi.org/10.1186/s12911-025-02988-8","Extract outage-duration scenarios and process effects for external pattern checks"
"1","Arsalani et al., Impact of ransomware on emergency medical services: Empirical estimation and risk assessment framework","2026","Empirical incident analysis plus simulation","Two real breaches, EMS operational outcomes, surrounding network capacity, and a ransomware risk-assessment framework","Generalization beyond its incidents without qualification","https://doi.org/10.1016/j.omega.2026.103578","Obtain full text if accessible and compare its calibration/validation split with NAZE"
"2","Angler et al., Assessing the impact of technology partners on the level of cyberattack damage in hospitals","2025","Peer-reviewed discrete-event simulation","Downtime costs, length of stay, staff utilization, lost arrivals, and cost–benefit framing over a 21-day scenario","Direct cost estimates for NAZE control bundles","https://doi.org/10.1016/j.hlpt.2024.100955","Review parameter sources and economic assumptions"
"2","Carramiñana et al., Enhancing healthcare infrastructure resilience through agent-based simulation methods","2025","Peer-reviewed agent-based infrastructure simulation","IT-healthcare interdependencies, networked agents, and cyberattack-driven service degradation","Empirical calibration of NAZE transition probabilities","https://doi.org/10.1016/j.comcom.2025.108070","Compare topology, dependency, and validation methods"
"2","Wunderlich et al., Resilience against IT attacks in hospitals: results from an exercise in a German university hospital","2023","Hospital tabletop exercise report","Three-day total-IT-failure exercise, offline/paper workflows, departmental resilience, and emergency planning","Population-level numerical efficacy estimates","https://doi.org/10.1007/s00101-023-01331-y","Use the exercise structure to design expert scenarios and service-dependency review"
"2","Dameff et al., Design and Pilot Study of a High-Fidelity Medical Simulation of a Hospital-Wide Cybersecurity Attack","2024","Multidisciplinary clinical simulation study","Patient-safety scenarios under loss of networked clinical resources and a model for expert-reviewed exercises","Asset-compromise probabilities or comparative portfolio effects","https://pmc.ncbi.nlm.nih.gov/articles/PMC11030511/","Adapt scenario prompts for clinical face-validity review"
"2","European Union Agency for Cybersecurity, Health Threat Landscape","2023","Authoritative incident landscape report","Sector context, incident types, actors, impacts, and trends based on public incidents","Unbiased incidence rates or control-effectiveness probabilities","https://www.enisa.europa.eu/publications/health-threat-landscape","Use for background and source discovery, not model calibration by itself"
"2","CISA and partners, #StopRansomware Guide","2023","Authoritative operational guidance","Definitions and failure modes for segmentation, least privilege, incident response, offline backups, and recovery testing","Numerical efficacy values for modeled controls","https://www.cisa.gov/stopransomware/ransomware-guide","Map each modeled portfolio component to explicit guidance and limitations"
"2","HHS, Healthcare and Public Health Cybersecurity Performance Goals","Current web edition","Authoritative healthcare-sector guidance","Healthcare-specific prioritization of high-impact safeguards and control terminology","Probability or magnitude of benefit","https://hhscyber.hhs.gov/cybersecurity-performance-goals.html","Use to define feasible portfolios for expert review"
"2","NIST IR 8374 Revision 1, Ransomware Risk Management: A CSF 2.0 Community Profile","2026","Authoritative risk-management guidance","Current ransomware preparation, protection, response, and recovery practices","Empirical transition or cost parameters","https://doi.org/10.6028/NIST.IR.8374r1","Use as a control taxonomy and traceability source"
"1","Monks et al., Strengthening the reporting of empirical simulation studies: Introducing the STRESS guidelines","2018","Simulation reporting guideline","Required reporting for conceptualization, implementation, experimentation, data, and results","Evidence that the model is valid merely because it is well reported","https://doi.org/10.1080/17477778.2018.1442155","Complete the relevant STRESS checklist before submission"
