parameter,reference_value,prospective_range,sampled_per_scenario,identification_class,evidence_basis,treatment
base_spread_rate,0.1337609218,"[0.07, 0.2]",yes,declared-assumption,No public source gives a representative per-edge hospital transmission rate,Sampled per scenario over a declared range
patch_effectiveness,0.85,"[0.5, 0.95]",yes,declared-assumption,CISA KEV documents exploitation but has no hospital denominator and no propagation effect,Sampled; applied ONLY on the exploit pathway
patch_effectiveness_credential,0.05,fixed,no,declared-assumption,Mechanism: patching a target does not defeat valid stolen credentials,Fixed near zero by mechanism rather than sampled
patch_effectiveness_vendor,0.25,"[0.05, 0.45]",yes,declared-assumption,Mechanism: the remote side of a vendor path is outside the estate,Sampled over a partial-effect range
identity_breach_multiplier,1.5,"[1.1, 2.5]",yes,declared-assumption,No transferable estimate; Microsoft Azure AD study covers authentication events only,Sampled; applied ONLY on credential pathways
identity_control_coverage,0.85,"[0.6, 0.95]",yes,evidence-constrained,HHS landscape analysis reports MFA present in >90% of hospitals but 84% VPN and 88% email coverage,Sampled over a range spanning the reported coverage figures
identity_control_effectiveness,0.7,"[0.4, 0.9]",yes,declared-assumption,"Microsoft estimate applies at covered authentication events, not hospital-wide",Sampled over a wide range; never applied network-wide
rapid_isolation_success,0.6315968501,"[0.4, 0.85]",yes,declared-assumption,No representative hospital containment distribution exists,Sampled per scenario
restore_rate_fraction,0.0066666667,"[0.002, 0.015]",yes,declared-assumption,THREAT durations are incident-level and interval-censored; they do not identify a per-node rate,Sampled; still cannot express the weeks-to-months tail at a 72h horizon
false_positive_rate,0.0006671116,"[0.0002, 0.002]",yes,declared-assumption,No public measurement of false isolation of clinical assets,Sampled per scenario
backup_isolation_lapse,0.1,"[0.02, 0.25]",yes,declared-assumption,"Sophos 2024: backup compromise attempted in 95% of victims, succeeding in 66% of attempts, across mixed architectures",Sampled per incident; keeps isolated backups falsifiable
backup_residual_failure,"{'connected': 0.08, 'periodic': 0.05, 'isolated': 0.03}",fixed,no,declared-assumption,"Non-network failure: no clean recovery point, failed restore, backup-platform identity compromise",Fixed per architecture; drawn once per incident
backup_traversal,"{'connected': 1.0, 'periodic': 0.3, 'isolated': 0.0}",fixed,no,declared-assumption,"Architecture definition, not an estimate","Fixed; isolated is zero by design, falsifiability lives in the lapse"
service_functional_fraction,0.6,fixed,no,declared-assumption,No clinical validation of any service-availability threshold,Fixed; flagged in the manuscript as an elicited threshold
sustained_outage_service_steps,24,fixed,no,declared-assumption,No clinical validation of the two-hour duration,Fixed; full k ladder reported
sustained_outage_min_services,4,fixed,no,declared-assumption,Restores the manuscript's stated definition; outcome is near-binary so k is not load-bearing,Fixed at k=4; every k reported
max_steps,864,fixed,no,model-internal,72-hour acute horizon; cannot express the observed recovery tail,Fixed; reported as a failure boundary
